"id","name","approve"
251,"Jim Roy",1
252,"Freddie Reeves",1
253,"Lucille Warner",1
254,"Jodi Morrison",1
255,"Beverly Lynch",1
256,"Jo Norman",0
257,"Mike Simon",1
258,"Rex Nichols",1
259,"Betty Harrington",1
260,"Bradley Pratt",0
261,"Eric Casey",0
262,"Alexandra Underwood",0
263,"Felix Webster",1
264,"Moses Young",0
265,"Lillie Conner",0
266,"Abraham Malone",0
267,"Dwight Johnson",1
268,"Mamie Dawson",0
269,"Jesse Oliver",0
270,"Connie Nelson",1
271,"Nina Lamb",1
272,"Cameron Lawrence",0
273,"Ruben Hunt",1
274,"Dewey Scott",0
275,"Louise Rivera",0
276,"Toni Schultz",1
277,"Lawrence Thompson",1
278,"Miranda Arnold",0
279,"Randy Douglas",1
280,"Bernice Peterson",1
281,"Angel Carr",0
282,"Glenn Kelley",0
283,"Misty Rogers",0
284,"Michael Horton",1
285,"Sean Padilla",1
286,"Melanie Stevenson",0
287,"Nellie Haynes",1
288,"Myra Torres",0
289,"Cedric Wilkerson",1
290,"Danny Gordon",1
291,"Danielle Goodman",1
292,"Elbert Goodwin",1
293,"Fred Neal",0
294,"Joyce Mcdaniel",0
295,"Adam Leonard",1
296,"Ben Rhodes",1
297,"Joanna Hicks",0
298,"Erica Burton",0
299,"Jermaine Wilkins",1
300,"Kristina Coleman",0
301,"Lena Carter",0
302,"Frank Santiago",1
303,"Kara Sandoval",0
304,"Henrietta Nunez",1
305,"Kevin Bass",0
306,"Elisa Carpenter",0
307,"Jackie Lawrence",1
308,"Marcus Myers",1
309,"Fred Castro",1
310,"Julius Haynes",1
311,"Greg Hunt",1
312,"Spencer Jensen",1
313,"Jackie Johnston",1
314,"Tiffany Mendez",1
315,"Santiago Mcgee",0
316,"Sam Mckenzie",1
317,"Janice Kennedy",0
318,"Bert Lloyd",1
319,"Fannie Dennis",1
320,"Tony Meyer",0
321,"Mattie Paul",0
322,"Traci Farmer",0
323,"Rosa Jenkins",1
324,"Darin Love",1
325,"Priscilla Hudson",0
326,"Miriam Richards",0
327,"Eric Zou",0
328,"Jorge Gray",1
329,"Leslie Robertson",1
330,"Omar Thornton",1
331,"Kelli Gordon",1
332,"Gertrude Matthews",0
333,"Bob Waters",1
334,"Tracy Stephens",1
335,"Corey Ortiz",1
336,"Carlton Anderson",0
337,"Dianna Schultz",0
338,"Paul Cole",0
339,"Floyd Marshall",1
340,"Ignacio Rios",0
341,"George Parsons",1
342,"Denise Mendoza",1
343,"Arturo Barrett",1
344,"Sheryl Ruiz",1
345,"Dave Spencer",0
346,"Angie Holt",1
347,"Jermaine Cobb",1
348,"Norma Chandler",0
349,"Gregg Newman",0
350,"Patricia Snyder",0
351,"Wendy Harmon",0
352,"Frederick Moss",0
353,"Claire Gilbert",0
354,"Angelo Jefferson",1
355,"Laura Webb",1
356,"Helen Chapman",0
357,"Felicia Mullins",0
358,"Shirley Colon",0
359,"Tracey Simpson",0
360,"Ismael Davis",0
361,"Eleanor Washington",0
362,"Tasha Howell",0
363,"Conrad Gibbs",0
364,"Leroy Wood",1
365,"Doreen Reeves",0
366,"Betsy Walton",0
367,"Martha Simon",1
368,"Homer Oliver",0
369,"Penny Patrick",0
370,"Virginia Fletcher",0
371,"Robert Larson",1
372,"Joann Gomez",1
373,"Dwayne Flores",0
374,"Joyce Robbins",1
375,"Keith Craig",1
376,"Marlon Perez",1
377,"Phillip Harrington",1
378,"Michele Schneider",1
379,"Dustin Mack",0
380,"Elmer Poole",1
381,"Susie Wheeler",1
382,"Karl Delgado",0
383,"Hope Rodriguez",0
384,"Sherri Wilkerson",0
385,"Terence Benson",1
386,"Aaron Guzman",1
387,"Leonard Potter",1
388,"Erik Sanchez",0
389,"Perry Pope",0
390,"Orlando Conner",1
391,"Donna Watson",0
392,"Samantha Robinson",0
393,"Carrie Drake",1
394,"Kathryn Willis",1
395,"Malcolm Munoz",0
396,"Alton Armstrong",0
397,"Elsie Harvey",1
398,"Peter Medina",0
399,"Natasha Gibson",1
400,"Russell Wolfe",0
401,"Clark Shelton",1
402,"Ricardo Lee",1
403,"Shawna Gonzalez",0
404,"Sergio Porter",0
405,"Lyle Black",1
406,"Gayle Wagner",1
407,"Leroy Steele",0
408,"Jaime Wolfe",1
409,"Marjorie Mendoza",0
410,"Faith Bennett",1
411,"Nettie George",0
412,"Taylor Gregory",1
413,"Seth Chavez",0
414,"Zachary Meyer",1
415,"Joe Montgomery",0
416,"Tricia Turner",0
417,"Ben Jennings",0
418,"Gerardo Holloway",1
419,"Rosemarie Garner",1
420,"Warren Houston",0
421,"Fred Fisher",1
422,"Troy Jones",0
423,"Shannon Castillo",0
424,"Martin Adams",1
425,"Vivian Potter",1
426,"Sandra Quinn",1
427,"Elsa Daniels",0
428,"Luther Hines",0
429,"Sidney Jackson",0
430,"Shawn Cobb",0
431,"Clara Jefferson",0
432,"Marta Holt",1
433,"Herman Moss",0
434,"Kristina Ortega",1
435,"Jackie Sharp",1
436,"Johnny Caldwell",1
437,"Gabriel Fuller",1
438,"Courtney Bowen",0
439,"Rene Graves",0
440,"Cary Yates",0
441,"Kirk Patterson",1
442,"Frankie Graham",0
443,"Maria Duncan",1
444,"Marlene Bryan",0
445,"Bryant Craig",0
446,"Lorraine Dawson",0
447,"Brenda Moore",1
448,"Lucia Payne",0
449,"Naomi Young",1
450,"Agnes Stokes",1
451,"Jesus Walker",1
452,"Tracey Stephens",1
453,"Amy Mills",1
454,"Saul Spencer",1
455,"Isaac Colon",1
456,"Lauren Robbins",0
457,"Conrad Munoz",0
458,"Rosie Sherman",1
459,"Maggie Wallace",0
460,"Shane Jacobs",1
461,"Kate Larson",1
462,"Damon Rose",0
463,"Sandy Hopkins",1
464,"Erin Snyder",1
465,"Lola Summers",1
466,"Terrance Schultz",1
467,"Tami Mason",0
468,"June Wilkerson",0
469,"Eileen Farmer",1
470,"Joanne Ball",1
471,"Kelly Reed",1
472,"Rafael Mcgee",1
473,"Roger Richardson",1
474,"Dewey Griffith",0
475,"Melody Rodriguez",1
476,"Bobby Harmon",0
477,"Muriel Owen",0
478,"Jimmie Hogan",1
479,"Thomas Barton",0
480,"Carrie Jenkins",0
481,"Kendra Pierce",0
482,"Blanche Diaz",0
483,"Wallace Drake",1
484,"Cindy Austin",0
485,"Christopher Rice",1
486,"Joy Woods",1
487,"Spencer Hayes",0
488,"Johnnie Collins",0
489,"Harvey Peters",1
490,"Ginger Howard",0
491,"Owen Poole",0
492,"Calvin Brooks",0
493,"Pete Carlson",0
494,"Hector Ramirez",0
495,"Micheal Frazier",0
496,"Ronnie Newman",0
497,"Archie Daniel",1
498,"Beulah Malone",0
499,"Joanna Douglas",0
500,"Joseph Estrada",0
