id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
1,Sonia Mcguire,236-953-449,06-06-2019,43000,56867,56867,05,45,1,2,28222.43,7890.0137,1,604,42100,54200,7.1100001,175471
2,Donald Rice,005-842-556,06-02-2019,44200,58454,36700,04,40,1,2,60914.68,76678.344,1,734,52700,212300,6.2399998,193575
3,Ida Cobb,910-498-933,04-06-2019,42500,56206,18618,03,38,1,1,12447.522,26983.334,2,516,42400,120200,6.23,176691
4,Eugene Ray,860-954-891,06-04-2019,44100,58322,58322,05,27,1,2,58501.355,82148.555,0,659,59900,0,6.6300001,204650
5,Vernon Clark,222-665-597,09-04-2019,44800,59247,59247,02,44,1,2,65051.391,35056.191,1,752,47800,8800,5.9000001,155605
6,Cesar Johnson,882-556-156,03-03-2019,48600,64273,16265,04,39,0,3,7168.5122,0,0,518,52200,90000,7.2600002,198305
7,Joy Webb,423-652-053,05-01-2019,42700,56470,30873,05,40,0,2,48580.246,61743.867,0,661,56600,170400,6.1999998,192492
8,Victor Hamilton,905-466-435,08-03-2019,42400,56073,56073,03,34,1,2,43173.359,44773.535,0,657,33700,0,5.9299998,167191
9,Kristine Barker,029-914-331,07-04-2019,43200,57131,57131,05,36,0,2,52567.84,29618.998,0,665,50900,59000,7.0799999,200365
10,Seth Schwartz,537-502-549,06-06-2019,49400,65331,65331,01,33,0,2,84742.336,89973.281,0,705,47700,119600,6.7399998,202583
11,Clifford May,793-431-491,06-01-2019,44100,58322,26720,04,27,1,1,57404.16,44984.617,2,572,50000,0,6.79,178706
12,Bobbie Patton,866-938-802,10-05-2019,43200,57131,57131,01,30,0,2,22042.258,27400.855,0,579,59700,97100,5.9099998,184170
13,Charlene Edwards,972-299-637,09-07-2019,42300,55941,55941,04,37,0,2,42771.137,43419.617,0,641,34200,2900,5.8200002,181164
14,Genevieve Greer,640-143-883,07-05-2019,64900,85830,85830,01,36,0,2,101956.48,87833.852,0,810,42700,21700,6.5900002,166444
15,Kenny Gonzales,543-142-813,05-07-2019,43500,57528,57528,01,29,0,2,73494.664,82366.188,0,686,49900,0,6.1100001,187957
16,Lydia Frank,103-792-683,01-02-2019,43100,56999,24233,02,37,1,2,50973.719,62342.574,1,658,44200,0,7.3600001,188008
17,Kathleen Manning,923-498-894,05-03-2019,42100,55677,32332,03,27,0,2,38338.363,43995.609,0,617,46000,6200,6.0300002,177296
