id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
251,Jim Roy,700-960-853,05-06-2020,43700,57793,03,31,1,3,53954.027,54676.934,3,605,37000,0,6.0100002,184626
252,Freddie Reeves,648-651-712,05-05-2020,42800,56602,03,35,0,2,46947.348,52939.609,0,634,39300,0,6.1599998,189043
253,Lucille Warner,145-585-337,07-02-2020,42200,55809,03,34,1,2,37738.785,53086.07,0,623,48400,0,6.25,164250
254,Jodi Morrison,224-590-295,03-02-2020,45100,59644,02,30,1,2,95167.359,106289.65,2,728,49300,88700,7.0599999,191967
255,Beverly Lynch,211-935-888,04-06-2020,43000,56867,04,30,0,2,49900.703,48237.441,0,591,47300,47300,6.8200002,183447
256,Jo Norman,521-536-732,07-04-2020,42200,55809,04,41,0,2,40437.246,68085.57,0,652,37400,0,6.5500002,169208
257,Mike Simon,141-837-535,05-04-2020,43400,57396,04,35,0,2,54492.594,63865.836,0,636,49700,41900,6.3200002,181565
258,Rex Nichols,342-470-441,08-04-2020,44100,58322,03,37,0,3,62525.27,63471.738,0,722,49400,0,6.1900001,189303
259,Betty Harrington,072-838-082,05-05-2020,45000,59512,04,31,0,2,65468.371,81084.195,0,698,25400,153300,6.2600002,174559
260,Bradley Pratt,657-321-470,06-05-2020,46600,61628,02,36,0,2,8839.5684,34765.211,0,480,38700,63600,6.6399999,193208
261,Eric Casey,832-167-992,05-05-2020,42100,55677,04,37,1,2,35492.34,31107.131,1,612,52000,38400,6.3600001,205033
262,Alexandra Underwood,587-074-671,05-04-2020,41800,55280,04,29,0,2,29960.387,35150.184,0,580,27600,0,6.3600001,175707
263,Felix Webster,465-988-770,05-01-2020,42700,56470,03,34,1,2,45635.156,31008.547,2,663,45500,0,5.96,204852
264,Moses Young,116-108-076,04-03-2020,42700,56470,05,36,1,2,48336.465,76154.703,0,588,48100,0,6.5799999,193176
265,Lillie Conner,367-848-329,09-07-2020,50100,66257,04,32,1,2,13214.044,23353.377,0,458,47200,0,5.9299998,178309
266,Abraham Malone,369-200-220,08-06-2020,42200,55809,02,42,1,2,28800.434,21840.059,0,604,37700,414600,6.1799998,183456
267,Dwight Johnson,151-851-545,03-06-2020,42300,55941,03,29,0,2,41631.871,46208.156,0,595,44000,0,6.8400002,175852
268,Mamie Dawson,871-725-478,05-03-2020,42600,56338,04,46,0,2,22400.676,32787.918,0,597,60700,0,5.9400001,218660
269,Jesse Oliver,221-734-785,05-05-2020,40900,54090,03,45,1,2,18047,9388.832,2,599,28400,0,6,193379
270,Connie Nelson,173-527-776,07-03-2020,42500,56206,03,24,0,3,27766.805,41805.914,0,524,48700,0,6.4299998,183152
271,Nina Lamb,300-503-440,03-04-2020,61200,80936,03,38,0,2,96547.305,96704.82,0,857,49300,110500,6.9200001,182336
272,Cameron Lawrence,651-731-558,07-07-2020,41200,54486,02,42,1,2,26810.146,12080.277,1,601,54800,54600,6.4899998,184893
273,Ruben Hunt,925-791-406,05-01-2020,42200,55809,02,23,1,2,38655.875,25494.371,2,522,33200,0,6.1900001,197857
274,Dewey Scott,250-006-740,08-03-2020,44900,59380,05,35,1,2,19054.361,10964.85,2,523,36600,60600,6.3000002,193490
275,Louise Rivera,881-849-727,04-05-2020,42100,55677,01,31,0,2,34777.816,21395.217,0,574,37300,0,6.1999998,199741
276,Toni Schultz,769-079-072,05-01-2020,53400,70621,01,33,1,2,79411.461,75129.5,1,734,67300,0,6.1700001,181801
277,Lawrence Thompson,243-529-110,06-05-2020,42800,56602,04,36,1,2,48701.477,52457.207,2,652,57000,76100,6.48,200906
278,Miranda Arnold,072-354-406,07-02-2020,42200,55809,01,36,0,3,25672.445,34943.539,0,568,53100,0,6.71,196275
279,Randy Douglas,370-066-697,05-04-2020,43000,56867,01,27,0,1,49376.586,40030.313,0,639,52600,17200,6.1799998,205900
280,Bernice Peterson,617-322-376,06-02-2020,45900,60702,02,34,1,2,72031.945,66247.055,2,673,34000,112400,6.96,200244
281,Angel Carr,127-419-019,07-04-2020,44700,59115,01,34,1,2,57126.121,47214.164,2,606,51900,0,6.5100002,192690
282,Glenn Kelley,107-199-544,06-04-2020,52400,69298,03,35,1,2,2828.3608,19923.74,0,509,30900,0,6.8099999,197320
283,Misty Rogers,245-549-111,05-05-2020,42100,55677,04,43,1,2,37932.273,25366.479,3,647,35500,0,6.5900002,185936
284,Michael Horton,444-533-603,06-05-2020,66000,87284,03,44,0,2,107701.83,100724.6,0,899,46800,0,6.9299998,194657
285,Sean Padilla,190-016-695,03-04-2020,42400,56073,02,26,0,2,41329.793,36912.16,0,568,39900,0,7.3200002,204303
286,Melanie Stevenson,181-397-787,05-03-2020,42500,56206,03,31,1,2,22023.324,29284.348,0,518,34500,0,6,198586
287,Nellie Haynes,824-147-213,04-01-2020,42400,56073,02,28,1,2,41712.719,53167.078,1,613,43100,33400,6.3299999,163363
288,Myra Torres,846-986-686,07-04-2020,43600,57660,01,34,1,2,15187.771,26495.102,0,551,46400,0,6.6999998,195626
