id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice,type
1,Sonia Mcguire,236-953-449,06-06-2019,43000,56867,56867,05,45,1,2,28222.43,7890.0137,1,604,42100,54200,7.1100001,175471,38.876511
2,Donald Rice,005-842-556,06-02-2019,44200,58454,36700,04,40,1,2,60914.68,76678.344,1,734,52700,212300,6.2399998,193575,61.201061
3,Ida Cobb,910-498-933,04-06-2019,42500,56206,18618,03,38,1,1,12447.522,26983.334,2,516,42400,120200,6.23,176691,29.904896
4,Eugene Ray,860-954-891,06-04-2019,44100,58322,58322,05,27,1,2,58501.355,82148.555,0,659,59900,0,6.6300001,204650,58.607437
5,Vernon Clark,222-665-597,09-04-2019,44800,59247,59247,02,44,1,2,65051.391,35056.191,1,752,47800,8800,5.9000001,155605,65.559502
6,Cesar Johnson,882-556-156,03-03-2019,48600,64273,16265,04,39,0,3,7168.5122,0,0,518,52200,90000,7.2600002,198305,25.611139
7,Joy Webb,423-652-053,05-01-2019,42700,56470,30873,05,40,0,2,48580.246,61743.867,0,661,56600,170400,6.1999998,192492,52.354591
8,Victor Hamilton,905-466-435,08-03-2019,42400,56073,56073,03,34,1,2,43173.359,44773.535,0,657,33700,0,5.9299998,167191,50.036053
9,Kristine Barker,029-914-331,07-04-2019,43200,57131,57131,05,36,0,2,52567.84,29618.998,0,665,50900,59000,7.0799999,200365,55.143681
10,Seth Schwartz,537-502-549,06-06-2019,49400,65331,65331,01,33,0,2,84742.336,89973.281,0,705,47700,119600,6.7399998,202583,79.114677
11,Clifford May,793-431-491,06-01-2019,44100,58322,26720,04,27,1,1,57404.16,44984.617,2,572,50000,0,6.79,178706,59.158695
12,Bobbie Patton,866-938-802,10-05-2019,43200,57131,57131,01,30,0,2,22042.258,27400.855,0,579,59700,97100,5.9099998,184170,37.215149
13,Charlene Edwards,972-299-637,09-07-2019,42300,55941,55941,04,37,0,2,42771.137,43419.617,0,641,34200,2900,5.8200002,181164,49.321495
14,Genevieve Greer,640-143-883,07-05-2019,64900,85830,85830,01,36,0,2,101956.48,87833.852,0,810,42700,21700,6.5900002,166444,90.484039
15,Kenny Gonzales,543-142-813,05-07-2019,43500,57528,57528,01,29,0,2,73494.664,82366.188,0,686,49900,0,6.1100001,187957,71.437515
16,Lydia Frank,103-792-683,01-02-2019,43100,56999,24233,02,37,1,2,50973.719,62342.574,1,658,44200,0,7.3600001,188008,55.905407
17,Kathleen Manning,923-498-894,05-03-2019,42100,55677,32332,03,27,0,2,38338.363,43995.609,0,617,46000,6200,6.0300002,177296,46.777641
18,Cornelius Spencer,662-268-232,05-01-2019,45000,59512,45516,02,27,1,2,66593.031,68688.203,3,730,47900,0,6.1500001,182580,66.207031
19,Lucy Dixon,862-451-092,05-05-2019,42500,56206,56206,01,27,0,2,41923.133,51005.594,0,620,57800,0,6.3699999,196770,50.669926
20,Peter Leonard,807-791-103,06-01-2019,43500,57528,28490,05,33,1,1,57072.922,54820.656,1,646,52700,0,6.5,202116,58.04377
21,Beatrice Hodges,827-153-351,06-07-2019,43600,57660,57660,01,38,1,2,51322.887,39338.895,0,620,52500,0,7.0900002,197470,56.968227
22,Don Wagner,807-785-680,04-03-2019,42300,55941,27602,01,40,0,2,40040.945,40926.145,0,676,54000,71700,6.2199998,177648,49.277092
23,Fred Peters,205-150-137,03-03-2019,42200,55809,55809,02,37,0,2,39324.129,78628.328,0,608,48000,34000,7.1999998,182487,48.035324
24,Maxine Warner,328-130-106,07-07-2019,44000,58189,36101,05,31,0,2,57350.402,62557.816,0,663,50200,141100,6.7399998,196911,57.88131
25,Jessica Wong,359-092-133,05-06-2019,50400,66653,38311,02,27,1,2,76710.742,69450.57,1,620,54600,43600,5.8800001,185154,73.159988
26,George Valdez,038-055-946,08-01-2019,42200,55809,55809,02,42,0,2,38689.656,25201.426,0,656,39900,112100,6.3800001,194470,47.90852
27,Bradley Farmer,742-855-910,05-04-2019,43400,57396,57396,03,42,1,2,54471.801,42335.688,1,699,63400,16200,6.1199999,176935,57.529495
28,Eddie Morrison,088-532-925,03-02-2019,42100,55677,25716,02,25,1,2,34667.438,30991.223,0,553,33900,132300,7.02,206356,45.291977
29,Edwin Sanders,652-752-188,05-01-2019,44200,58454,31747,02,35,1,2,57010.785,31591.873,0,677,50500,105400,5.8800001,170901,60.623947
30,Sara Walters,565-036-493,06-02-2019,43200,57131,57131,03,27,1,2,58720.824,34222.332,3,619,33900,0,6.8499999,190375,60.314304
31,Toby Myers,451-715-999,01-04-2019,47300,62554,15384,04,29,0,2,4876.6206,6911.416,0,490,36900,0,7.4200001,180666,23.690811
32,Rufus Morton,279-203-329,06-06-2019,43000,56867,56867,05,35,1,2,50573.488,46287.059,3,647,43000,0,6.8499999,204909,53.764095
33,Barry Simpson,761-399-028,06-03-2019,42600,56338,22235,05,22,0,2,47337.727,38664.723,0,545,51000,0,7.04,200792,51.652603
34,Freddie Ballard,654-837-726,08-07-2019,43700,57793,57793,02,32,1,2,59336.598,78073.547,2,620,45900,37600,6.54,200083,61.91991
35,Wendell Hogan,612-191-230,08-07-2019,47000,62157,15233,01,46,1,2,1187.2125,22843.736,2,519,46200,107700,6.75,191376,23.186899
36,Evan Rivera,158-224-406,06-03-2019,54800,72472,27426,03,37,0,1,3069.9961,15630.355,0,535,35400,22500,6.8099999,202199,23.628315
37,Shane Aguilar,976-312-508,06-01-2019,63000,83317,83317,03,31,0,2,0,0,0,525,27200,0,6.5799999,176053,18.431753
38,Joel Gordon,919-625-281,07-04-2019,43000,56867,56867,05,24,1,2,51369.477,37651.07,3,587,43700,0,6.5,192642,54.496605
39,Emilio Glover,564-767-971,06-02-2019,42000,55544,55544,04,33,1,2,32395.596,20812.637,2,588,53900,0,6.7600002,196183,42.479
40,Chris Joseph,376-172-126,04-04-2019,43200,57131,25696,05,41,1,2,51554.574,51978.508,0,646,44400,14000,6.3899999,176266,54.265594
41,Dora Dawson,959-333-632,05-01-2019,43300,57264,57264,04,33,1,2,52247.902,49669.211,0,642,37900,8600,5.8899999,265386,55.337738
42,Andres French,338-985-324,06-05-2019,42200,55809,55809,04,35,0,2,41419.973,53992.094,0,599,29700,32400,6.77,187668,48.426266
43,Eileen Bell,571-490-247,04-07-2019,48000,63479,20179,05,40,0,1,13559.641,40764.344,0,530,50600,70900,6.79,182693,29.078072
44,Patsy Norman,592-787-267,07-02-2019,42400,56073,17804,01,31,1,2,12834.646,4527.9575,0,521,41800,0,6.4400001,207326,30.818104
45,Rosemary Freeman,280-683-539,07-06-2019,42400,56073,56073,04,32,0,2,44430.949,60494.754,0,624,33000,48800,6.6700001,189883,50.210228
46,Johnny Gross,092-035-839,09-04-2019,44100,58322,58322,03,32,1,2,56821.531,33573.406,2,613,43600,80300,6.0999999,184735,58.872887
47,Roderick Pratt,217-716-244,06-07-2019,44700,59115,59115,01,40,1,2,60292.309,57242.602,0,740,55200,23800,6.7800002,172904,62.921692
48,Ruth Flores,910-791-644,05-02-2019,42000,55544,55544,02,40,1,2,35028.832,69490.93,0,626,52400,0,6.0599999,179521,45.257252
49,Elaine Lamb,807-622-514,06-06-2019,42500,56206,56206,04,34,1,2,45422.523,27378.76,2,675,35000,78100,6.79,187146,50.864719
50,Aubrey Higgins,579-659-779,09-06-2019,43400,57396,40525,04,30,0,2,57910.363,50910.273,0,699,65900,26100,6.1700001,165077,58.788898
51,Dallas Jimenez,033-674-047,05-05-2019,43100,56999,56999,02,40,0,2,49452.457,71156.438,0,644,31900,126700,6.4099998,201132,55.063904
52,Wade Mathis,171-341-581,04-03-2019,42500,56206,56206,04,28,0,2,45553.695,47866.668,0,551,38600,0,6.6100001,196717,50.939232
